Original_Category,Encoded_Value
G0AHZNT3,1229
G0AHZRU1,1230
G0AHZSB1,1231
G0AHZSN1,1232
G0AIKSN1,1233
G0AIWNN1,1234
G0AIZNB1,1235
G0AIZNB3,1236
G0AIZNI1,1237
G0AIZNM1,1238
G0AIZNM3,1239
G0AIZNN1,1240
G0AIZNN3,1241
G0AIZNT1,1242
G0AIZOB1,1243
G0AIZOI1,1244
G0AIZOM1,1245
G0AIZON1,1246
G0AIZRU1,1247
G0AIZSB1,1248
G0AIZSB3,1249
G0AIZSM1,1250
G0AIZSN1,1251
G0AIZSN3,1252
G0AIZTN1,1253
G0AJUNN1,1254
G0AJUSB1,1255
G0AJUSN1,1256
G0AJZNB1,1257
G0AJZNB3,1258
G0AJZNI1,1259
G0AJZNM1,1260
G0AJZNM3,1261
G0AJZNN1,1262
G0AJZNN3,1263
G0AJZNT1,1264
G0AJZRI1,1265
G0AJZRU1,1266
G0AJZSB1,1267
G0AJZSB3,1268
G0AJZSM1,1269
G0AJZSM3,1270
G0AJZSN1,1271
G0AJZSN3,1272
G0AKUNN1,1273
G0AKZNB1,1274
G0AKZNI1,1275
G0AKZNM1,1276
G0AKZNN1,1277
G0AKZNN3,1278
G0AKZNT1,1279
G0AKZSN3,1280
G0APZNN1,1281
G0AWZNI1,1282
G0AWZNN1,1283
G0AWZNN3,1284
G0AZUNN1,1285
G0AZZNB1,1286
G0AZZNB3,1287
G0AZZNI1,1288
G0AZZNM1,1289
G0AZZNM3,1290
G0AZZNN1,1291
G0AZZNN3,1292
G0AZZNT3,1293
G0AZZRU1,1294
G0BHZNN1,1295
G0BHZSN1,1296
G0BIZNN1,1297
G0BIZSN1,1298
G0BIZSN3,1299
G0BJZSN1,1300
G0BWINN1,1301
G0BWKNN1,1302
G0BWZNN1,1303
G0BZZNN1,1304
G0DACAY,1305
G0FHZNB1,1306
G0FHZNM1,1307
G0FHZNN1,1308
G0FWZNN1,1309
G0FZZNN1,1310
G14DXS2,1311
G14EXNR,1312
G14EXS2,1313
G14EXY4,1314
G14GSS4,1315
G14GXP5,1316
G14GXS5,1317
G14IXS2,1318
G14JXS2,1319
G14KSS4,1320
G14NXS2,1321
G14OSS4,1322
G14OXP6,1323
G14OXS2,1324
G14OXS4,1325
G14OXS5,1326
G14PNITE,1327
G14PSS4,1328
G14PXP6,1329
G14PXS2,1330
G14PXS4,1331
G14PXS5,1332
